Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,DON,F_DON,TDN,F_TDN,TN,F_TN,PN,F_PN,TKN,F_TKN,TKNF,F_TKNF,TON,F_TON,PON,F_PON,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,DOC,F_DOC,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,ENTERO_MPN,F_ENTERO_MPN,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,SECCHI,F_SECCHI
gtmpcnut,8/18/2020 4:30,2,1, ,0.077,0,0.120,0,0.044,0,0.004,0,0.008,0,0.012,0,0.056,0, ,<-1>,,<-1>,0.83,0,,<-1>,0.82,0, ,<-1>  ,0.78,0,,<-1>,6.2,0,9.0,0,4.2,0,18.0,0,13,0,55,<1> [GSM] (CHB), ,<-1>  ,29.5,0,7.6,0,3.9,0,7.2,0,9,0, ,<-1>  
gtmpcnut,8/18/2020 7:00,2,1, ,0.082,0,0.120,0,0.072,0,0.004,0,0.008,0,0.012,0,0.084,0, ,<-1>,,<-1>,0.80,0,,<-1>,0.79,0, ,<-1>  ,0.72,0,,<-1>,7.2,0,10.0,0,4.3,0,16.0,0,15,0,61,<1> [GSM] (CHB), ,<-1>  ,29.5,0,11.1,0,3.7,0,7.2,0,11,0, ,<-1>  
gtmfmnut,8/18/2020 8:40,1,1, ,0.015,0,0.035,0,0.015,0,0.002,<-4> [SBL],,<-4> [SCB],0.004,<-4> [SBL],,<-4> [SCB],0.22,0,,<-4> [SCB],,<-4> [SCB],,<-2> [GCM],0.23,0,0.23,0,0.22,0,0.00,0,4.4,0,5.2,0,1.1,0,1.9,0,7,0,8,<1> [GSM] (CHB), ,<-1>  ,29.0,0,35.0,0,4.7,0,7.4,0,5,0,1.35,0
gtmfmnut,8/18/2020 8:42,1,2, ,0.015,0,0.035,0,0.014,0,0.002,<-4> [SBL],,<-4> [SCB],0.006,0,0.020,0,0.24,0,0.26,0,0.30,0,0.04,0,0.29,0,0.25,0,0.28,0,0.04,0, ,<-2> [GDM], ,<-2> [GDM], ,<-2> [GDM],2.0,0,7,<1> (CSM),6,<1> [GSM] (CHB), ,<-1>  ,29.0,0,35.0,0,4.7,0,7.4,0,5,0,1.35,0
gtmpcnut,8/18/2020 9:30,2,1, ,0.062,0,0.110,0,0.087,0,0.003,0,0.008,0,0.011,0,0.098,0, ,<-1>,,<-1>,0.88,0,,<-1>,0.87,0, ,<-1>  ,0.78,0,,<-1>,9.6,0,13.0,0,5.2,0,11.0,0,26,0,22,<1> [GSM] (CHB), ,<-1>  ,29.5,0,18.7,0,3.9,0,7.4,0,16,0, ,<-1>  
gtmssnut,8/18/2020 9:54,1,1, ,0.026,0,0.054,<1> (CSM),0.051,<1> (CSM),0.006,0,0.017,<1> (CSM),0.023,<1> (CSM),0.074,<1> (CSM),0.26,<1> (CSM),0.33,<1> (CSM),0.41,<1> (CSM),0.08,<1> (CSM),0.39,<1> (CSM),0.31,<1> (CSM),0.34,<1> (CSM),0.08,<1> (CSM),5.2,<1> (CSM),6.5,<1> (CSM),1.8,<1> (CSM),2.5,<1> (CSM),14,0,8,<1> [GSM] (CHB), ,<-1>  ,29.5,0,35.1,0,4.6,0,7.5,0,9,0,0.90,0
gtmssnut,8/18/2020 9:56,1,2, ,0.027,0,0.034,<1> (CSM),0.052,<1> (CSM),0.006,0,0.016,<1> (CSM),0.022,<1> (CSM),0.074,<1> (CSM),0.33,<1> (CSM),0.40,<1> [SCC] (CSM),0.33,<1> [SCC] (CSM),-0.07,<-3> [SNV],0.31,<1> [SCC] (CSM),0.38,<1> [SCC] (CSM),0.26,<1> (CSM),-0.07,<-3> [SNV],5.3,<1> (CSM),6.6,<1> (CSM),1.8,<1> (CSM),2.8,<1> (CSM),12,0,6,<1> [GSM] (CHB), ,<-1>  ,29.5,0,35.1,0,4.6,0,7.5,0,9,0,0.90,0
gtmpinut,8/18/2020 11:15,1,1, ,0.055,0,0.086,<1> (CSM),0.071,<1> (CSM),0.110,<1> [SCC],-0.058,<-3> [SNV],0.052,<1> [SCC] (CSM),0.123,<1> (CSM),0.54,<1> (CSM),0.66,<1> (CSM),0.80,<1> (CSM),0.14,<1> (CSM),0.75,<1> (CSM),0.61,<1> (CSM),0.68,<1> (CSM),0.14,<1> (CSM),4.0,<1> (CSM),5.4,<1> (CSM),2.0,<1> (CSM),9.5,<1> (CSM),9,<1> (CSM),3,<1> [GSM] (CHB), ,<-1>  ,29.7,0,23.5,0,2.9,0,7.1,0,7,<1> (CSM),0.90,0
gtmpinut,8/18/2020 11:17,1,2, ,0.054,0,0.089,<1> (CSM),0.070,<1> (CSM),0.110,<1> [SCC],-0.051,<-3> [SNV],0.059,<1> [SCC] (CSM),0.129,<1> (CSM),0.64,<1> (CSM),0.77,<1> (CSM),0.81,<1> (CSM),0.04,<1> (CSM),0.75,<1> (CSM),0.71,<1> (CSM),0.68,<1> (CSM),0.04,<1> (CSM),4.3,<1> (CSM),5.6,<1> (CSM),1.9,<1> (CSM),9.3,<1> (CSM),10,<1> (CSM),6,<1> [GSM] (CHB), ,<-1>  ,29.7,0,23.5,0,2.9,0,7.1,0,7,<1> (CSM),0.90,0
gtmpcnut,8/18/2020 11:23,1,1, ,0.062,0,0.110,0,0.059,0,0.005,0,0.007,0,0.012,0,0.071,0,0.50,0,0.57,0,0.77,0,0.20,0,0.76,0,0.56,0,0.70,0,0.20,0,14.0,0,17.0,0,4.6,0,11.0,0,14,0,14,<1> [GSM] (CHB),68.0,<1> [GSM] (CHB),29.7,0,20.2,0,3.8,0,7.3,0,11,0,0.50,0
